air_basin,burn_day_decision_code,date,description
Mountain Counties South,S,1/17/2023,Superior
Lake Tahoe,B,1/17/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/17/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/17/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/17/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/17/2023,
North Coast High,S,1/18/2023,Superior
North Coast Low,B,1/18/2023,Permissive Burn Day Decision 
Lake County  ,B,1/18/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/18/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/18/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/18/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/18/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/18/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/18/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/18/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/18/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/18/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/18/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/18/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/18/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/18/2023,Permissive Burn Day Decision 
South Coast,B,1/18/2023,Permissive Burn Day Decision 
San Diego West High,B,1/18/2023,Permissive Burn Day Decision 
San Diego West Low,B,1/18/2023,Permissive Burn Day Decision 
Mojave Desert,B,1/18/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/18/2023,Permissive Burn Day Decision 
Sacramento Valley High,S,1/18/2023,Superior
Sacramento Valley Low,2w,1/18/2023,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/18/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,S,1/18/2023,Superior
Mountain Counties North,S,1/18/2023,Superior
Mountain Counties South,S,1/18/2023,Superior
Lake Tahoe,B,1/18/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/18/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/18/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/18/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/18/2023,
North Coast High,G,1/19/2023,Good
North Coast Low,B,1/19/2023,Permissive Burn Day Decision 
Lake County  ,B,1/19/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/19/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/19/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/19/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/19/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/19/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/19/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/19/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/19/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/19/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/19/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/19/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/19/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/19/2023,Permissive Burn Day Decision 
South Coast,B,1/19/2023,Permissive Burn Day Decision 
San Diego West High,B,1/19/2023,Permissive Burn Day Decision 
San Diego West Low,B,1/19/2023,Permissive Burn Day Decision 
Mojave Desert,B,1/19/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/19/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,1/19/2023,Good
Sacramento Valley Low,2R,1/19/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/19/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/19/2023,Good
Mountain Counties North,S,1/19/2023,Superior
Mountain Counties South,S,1/19/2023,Superior
Lake Tahoe,B,1/19/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/19/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/19/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/19/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/19/2023,
North Coast High,G,1/20/2023,Good
North Coast Low,B,1/20/2023,Permissive Burn Day Decision 
Lake County  ,B,1/20/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/20/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/20/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/20/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/20/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/20/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/20/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/20/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/20/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/20/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/20/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/20/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/20/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/20/2023,Permissive Burn Day Decision 
South Coast,B,1/20/2023,Permissive Burn Day Decision 
San Diego West High,B,1/20/2023,Permissive Burn Day Decision 
San Diego West Low,B,1/20/2023,Permissive Burn Day Decision 
Mojave Desert,B,1/20/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/20/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,1/20/2023,Good
Sacramento Valley Low,2R,1/20/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/20/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/20/2023,Good
Mountain Counties North,G,1/20/2023,Good
Mountain Counties South,G,1/20/2023,Good
Lake Tahoe,B,1/20/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/20/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/20/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/20/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/20/2023,
North Coast High,F,1/21/2023,Fair
North Coast Low,B,1/21/2023,Permissive Burn Day Decision 
Lake County  ,B,1/21/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/21/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/21/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/21/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/21/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/21/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/21/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/21/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/21/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/21/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/21/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/21/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/21/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/21/2023,Permissive Burn Day Decision 
South Coast,B,1/21/2023,Permissive Burn Day Decision 
San Diego West High,B,1/21/2023,Permissive Burn Day Decision 
San Diego West Low,NB,1/21/2023,No-Burn Day Decision
Mojave Desert,B,1/21/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/21/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,1/21/2023,Fair
Sacramento Valley Low,2w,1/21/2023,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/21/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/21/2023,Fair
Mountain Counties North,F,1/21/2023,Fair
Mountain Counties South,F,1/21/2023,Fair
Lake Tahoe,B,1/21/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/21/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/21/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/21/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/21/2023,
North Coast High,F,1/22/2023,Fair
North Coast Low,B,1/22/2023,Permissive Burn Day Decision 
Lake County  ,B,1/22/2023,Permissive Burn Day Decision 
San Francisco Bay North High,NB,1/22/2023,No-Burn Day Decision
San Francisco Bay North Low,NB,1/22/2023,No-Burn Day Decision
San Francisco Bay South High,B,1/22/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/22/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,NB,1/22/2023,No-Burn Day Decision
San Francisco Bay Coastal Low,NB,1/22/2023,No-Burn Day Decision
North Central Coast Coastal,B,1/22/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/22/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/22/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/22/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/22/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/22/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/22/2023,Permissive Burn Day Decision 
South Coast,B,1/22/2023,Permissive Burn Day Decision 
San Diego West High,B,1/22/2023,Permissive Burn Day Decision 
San Diego West Low,B,1/22/2023,Permissive Burn Day Decision 
Mojave Desert,B,1/22/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/22/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,1/22/2023,Fair
Sacramento Valley Low,2R,1/22/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/22/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/22/2023,Fair
Mountain Counties North,F,1/22/2023,Fair
Mountain Counties South,F,1/22/2023,Fair
Lake Tahoe,B,1/22/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/22/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/22/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/22/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/22/2023,
North Coast High,F,1/23/2023,Fair
North Coast Low,B,1/23/2023,Permissive Burn Day Decision 
Lake County  ,B,1/23/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/23/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/23/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/23/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/23/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/23/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/23/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/23/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/23/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/23/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/23/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/23/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/23/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/23/2023,Permissive Burn Day Decision 
South Coast,B,1/23/2023,Permissive Burn Day Decision 
San Diego West High,B,1/23/2023,Permissive Burn Day Decision 
San Diego West Low,NB,1/23/2023,No-Burn Day Decision
Mojave Desert,B,1/23/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/23/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,1/23/2023,Fair
Sacramento Valley Low,2R,1/23/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/23/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/23/2023,Fair
Mountain Counties North,F,1/23/2023,Fair
Mountain Counties South,F,1/23/2023,Fair
Lake Tahoe,B,1/23/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/23/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/23/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/23/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/23/2023,
North Coast High,F,1/24/2023,Fair
North Coast Low,B,1/24/2023,Permissive Burn Day Decision 
Lake County  ,B,1/24/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/24/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/24/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/24/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/24/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/24/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/24/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/24/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/24/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/24/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/24/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/24/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/24/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/24/2023,Permissive Burn Day Decision 
South Coast,B,1/24/2023,Permissive Burn Day Decision 
San Diego West High,B,1/24/2023,Permissive Burn Day Decision 
San Diego West Low,NB,1/24/2023,No-Burn Day Decision
Mojave Desert,B,1/24/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/24/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,1/24/2023,Fair
Sacramento Valley Low,2,1/24/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/24/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/24/2023,Fair
Mountain Counties North,F,1/24/2023,Fair
Mountain Counties South,F,1/24/2023,Fair
Lake Tahoe,B,1/24/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/24/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/24/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/24/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/24/2023,
North Coast High,F,1/25/2023,Fair
North Coast Low,B,1/25/2023,Permissive Burn Day Decision 
Lake County  ,B,1/25/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/25/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/25/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/25/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/25/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/25/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/25/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/25/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/25/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/25/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/25/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/25/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/25/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/25/2023,Permissive Burn Day Decision 
South Coast,B,1/25/2023,Permissive Burn Day Decision 
San Diego West High,B,1/25/2023,Permissive Burn Day Decision 
San Diego West Low,NB,1/25/2023,No-Burn Day Decision
Mojave Desert,B,1/25/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/25/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,1/25/2023,Fair
Sacramento Valley Low,2R,1/25/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/25/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,M,1/25/2023,Marginal
Mountain Counties North,F,1/25/2023,Fair
Mountain Counties South,F,1/25/2023,Fair
Lake Tahoe,B,1/25/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/25/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/25/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/25/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/25/2023,
North Coast High,F,1/26/2023,Fair
North Coast Low,B,1/26/2023,Permissive Burn Day Decision 
Lake County  ,B,1/26/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/26/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/26/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/26/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/26/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/26/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/26/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/26/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/26/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/26/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/26/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/26/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/26/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/26/2023,Permissive Burn Day Decision 
South Coast,B,1/26/2023,Permissive Burn Day Decision 
San Diego West High,NB,1/26/2023,No-Burn Day Decision
San Diego West Low,NB,1/26/2023,No-Burn Day Decision
Mojave Desert,B,1/26/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/26/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,1/26/2023,Fair
Sacramento Valley Low,2,1/26/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/26/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,M,1/26/2023,Marginal
Mountain Counties North,F,1/26/2023,Fair
Mountain Counties South,F,1/26/2023,Fair
Lake Tahoe,B,1/26/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/26/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/26/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/26/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/26/2023,
North Coast High,F,1/27/2023,Fair
North Coast Low,B,1/27/2023,Permissive Burn Day Decision 
Lake County  ,B,1/27/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/27/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/27/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/27/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/27/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/27/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/27/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/27/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/27/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/27/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/27/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/27/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/27/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/27/2023,Permissive Burn Day Decision 
South Coast,B,1/27/2023,Permissive Burn Day Decision 
San Diego West High,NB,1/27/2023,No-Burn Day Decision
San Diego West Low,NB,1/27/2023,No-Burn Day Decision
Mojave Desert,B,1/27/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/27/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,1/27/2023,Fair
Sacramento Valley Low,2,1/27/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/27/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/27/2023,Fair
Mountain Counties North,F,1/27/2023,Fair
Mountain Counties South,F,1/27/2023,Fair
Lake Tahoe,B,1/27/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/27/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/27/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/27/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/27/2023,
North Coast High,G,1/28/2023,Good
North Coast Low,B,1/28/2023,Permissive Burn Day Decision 
Lake County  ,B,1/28/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/28/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/28/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/28/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/28/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/28/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/28/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/28/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/28/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/28/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/28/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/28/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/28/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/28/2023,Permissive Burn Day Decision 
South Coast,B,1/28/2023,Permissive Burn Day Decision 
San Diego West High,B,1/28/2023,Permissive Burn Day Decision 
San Diego West Low,B,1/28/2023,Permissive Burn Day Decision 
Mojave Desert,B,1/28/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/28/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,1/28/2023,Good
Sacramento Valley Low,2,1/28/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/28/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/28/2023,Good
Mountain Counties North,G,1/28/2023,Good
Mountain Counties South,G,1/28/2023,Good
Lake Tahoe,B,1/28/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/28/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/28/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/28/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/28/2023,
North Coast High,S,1/29/2023,Superior
North Coast Low,B,1/29/2023,Permissive Burn Day Decision 
Lake County  ,B,1/29/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/29/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/29/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/29/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/29/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/29/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/29/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/29/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/29/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/29/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/29/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/29/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/29/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/29/2023,Permissive Burn Day Decision 
South Coast,B,1/29/2023,Permissive Burn Day Decision 
San Diego West High,B,1/29/2023,Permissive Burn Day Decision 
San Diego West Low,B,1/29/2023,Permissive Burn Day Decision 
Mojave Desert,B,1/29/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/29/2023,Permissive Burn Day Decision 
Sacramento Valley High,S,1/29/2023,Superior
Sacramento Valley Low,2R,1/29/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/29/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,S,1/29/2023,Superior
Mountain Counties North,S,1/29/2023,Superior
Mountain Counties South,S,1/29/2023,Superior
Lake Tahoe,B,1/29/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/29/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/29/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/29/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/29/2023,
North Coast High,F,1/30/2023,Fair
North Coast Low,B,1/30/2023,Permissive Burn Day Decision 
Lake County  ,B,1/30/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/30/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/30/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/30/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/30/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/30/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/30/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/30/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,1/30/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/30/2023,Permissive Burn Day Decision 
South Central Coast High,B,1/30/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,1/30/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/30/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/30/2023,Permissive Burn Day Decision 
South Coast,B,1/30/2023,Permissive Burn Day Decision 
San Diego West High,B,1/30/2023,Permissive Burn Day Decision 
San Diego West Low,B,1/30/2023,Permissive Burn Day Decision 
Mojave Desert,B,1/30/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/30/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,1/30/2023,Good
Sacramento Valley Low,2R,1/30/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/30/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/30/2023,Fair
Mountain Counties North,F,1/30/2023,Fair
